year,month,week,day,building,floor,direction,area,count
2020,10,43,24,mbk,001_2nd,exit,lift_11,169
2020,10,43,24,mbk,001_2nd,exit,lift_12,180
2020,10,43,24,mbk,001_2nd,exit,lift_13,142
2020,10,43,24,mbk,001_2nd,exit,lift_14,114
2020,10,43,24,mbk,001_2nd,exit,lift_15,452
2020,10,43,24,mbk,001_2nd,exit,lift_16,433
2020,10,43,24,mbk,001_2nd,exit,lift_17,239
2020,10,43,24,mbk,001_2nd,exit,lift_18,226
2020,10,43,24,mbk,001_2nd,exit,lift_19,207
2020,10,43,24,mbk,001_2nd,exit,lift_tower_1,0
2020,10,43,24,mbk,001_2nd,exit,lift_tower_2,11
2020,10,43,24,mbk,001_2nd,exit,lift_tower_3,0
2020,10,43,24,mbk,001_2nd,exit,lift_tower_4,1
2020,10,43,24,mbk,001_2nd,exit,lift_tower_5,0
2020,10,43,24,mbk,001_2nd,exit,parking,4141
2020,10,43,24,mbk,001_2nd,exit,tokyu,1709
2020,10,43,24,mbk,002_3rd,entrance,000_tokyu,1135
2020,10,43,24,mbk,002_3rd,entrance,001_2nd,9091
2020,10,43,24,mbk,002_3rd,entrance,003_4th,8386
2020,10,43,24,mbk,002_3rd,entrance,bts,3181
2020,10,43,24,mbk,002_3rd,entrance,chula,1316
2020,10,43,24,mbk,002_3rd,entrance,lift_10,151
2020,10,43,24,mbk,002_3rd,entrance,lift_11,134
2020,10,43,24,mbk,002_3rd,entrance,lift_12,147
2020,10,43,24,mbk,002_3rd,entrance,lift_13,91
2020,10,43,24,mbk,002_3rd,entrance,lift_14,96
2020,10,43,24,mbk,002_3rd,entrance,lift_15,184
2020,10,43,24,mbk,002_3rd,entrance,lift_16,187
2020,10,43,24,mbk,002_3rd,entrance,lift_17,92
2020,10,43,24,mbk,002_3rd,entrance,lift_18,83
2020,10,43,24,mbk,002_3rd,entrance,lift_19,81
2020,10,43,24,mbk,002_3rd,entrance,parking,1965
2020,10,43,24,mbk,002_3rd,exit,000_tokyu,1212
2020,10,43,24,mbk,002_3rd,exit,001_2nd,8142
2020,10,43,24,mbk,002_3rd,exit,003_4th,9357
2020,10,43,24,mbk,002_3rd,exit,bts,3397
2020,10,43,24,mbk,002_3rd,exit,chula,1331
2020,10,43,24,mbk,002_3rd,exit,lift_10,194
2020,10,43,24,mbk,002_3rd,exit,lift_11,149
2020,10,43,24,mbk,002_3rd,exit,lift_12,185
2020,10,43,24,mbk,002_3rd,exit,lift_13,105
2020,10,43,24,mbk,002_3rd,exit,lift_14,83
2020,10,43,24,mbk,002_3rd,exit,lift_15,192
2020,10,43,24,mbk,002_3rd,exit,lift_16,215
2020,10,43,24,mbk,002_3rd,exit,lift_17,126
2020,10,43,24,mbk,002_3rd,exit,lift_18,137
2020,10,43,24,mbk,002_3rd,exit,lift_19,114
2020,10,43,24,mbk,002_3rd,exit,parking,2167
2020,10,43,24,mbk,003_4th,entrance,000_tokyu,1740
2020,10,43,24,mbk,003_4th,entrance,002_3rd,9357
2020,10,43,24,mbk,003_4th,entrance,004_5th,6046
2020,10,43,24,mbk,003_4th,entrance,lift_10,471
2020,10,43,24,mbk,003_4th,entrance,lift_11,244
2020,10,43,24,mbk,003_4th,entrance,lift_12,258
2020,10,43,24,mbk,003_4th,entrance,lift_13,161
2020,10,43,24,mbk,003_4th,entrance,lift_14,155
2020,10,43,24,mbk,003_4th,entrance,lift_15,274
2020,10,43,24,mbk,003_4th,entrance,lift_16,300
2020,10,43,24,mbk,003_4th,entrance,lift_17,163
2020,10,43,24,mbk,003_4th,entrance,lift_18,138
2020,10,43,24,mbk,003_4th,entrance,lift_19,149
2020,10,43,24,mbk,003_4th,entrance,parking,1558
2020,10,43,24,mbk,003_4th,exit,000_tokyu,1659
2020,10,43,24,mbk,003_4th,exit,002_3rd,8386
2020,10,43,24,mbk,003_4th,exit,004_5th,5828
2020,10,43,24,mbk,003_4th,exit,lift_10,469
2020,10,43,24,mbk,003_4th,exit,lift_11,379
2020,10,43,24,mbk,003_4th,exit,lift_12,379
2020,10,43,24,mbk,003_4th,exit,lift_13,128
2020,10,43,24,mbk,003_4th,exit,lift_14,146
2020,10,43,24,mbk,003_4th,exit,lift_15,218
2020,10,43,24,mbk,003_4th,exit,lift_16,215
2020,10,43,24,mbk,003_4th,exit,lift_17,183
2020,10,43,24,mbk,003_4th,exit,lift_18,195
2020,10,43,24,mbk,003_4th,exit,lift_19,221
2020,10,43,24,mbk,003_4th,exit,parking,1870
2020,10,43,24,mbk,004_5th,entrance,000_tokyu,2124
2020,10,43,24,mbk,004_5th,entrance,003_4th,5828
2020,10,43,24,mbk,004_5th,entrance,005_6th,6469
2020,10,43,24,mbk,004_5th,entrance,lift_10,125
2020,10,43,24,mbk,004_5th,entrance,lift_11,127
