year,month,week,day,building,floor,zone,direction,area,count
2020,10,43,23,mbk,003_4th,4c,entrance,lift_16,283
2020,10,43,23,mbk,003_4th,4c,entrance,lift_17,194
2020,10,43,23,mbk,003_4th,4c,entrance,parking,1096
2020,10,43,23,mbk,003_4th,4c,exit,3b,9
2020,10,43,23,mbk,003_4th,4c,exit,3c,1961
2020,10,43,23,mbk,003_4th,4c,exit,4b,5622
2020,10,43,23,mbk,003_4th,4c,exit,4d,6156
2020,10,43,23,mbk,003_4th,4c,exit,5c,1574
2020,10,43,23,mbk,003_4th,4c,exit,lift_13,151
2020,10,43,23,mbk,003_4th,4c,exit,lift_14,164
2020,10,43,23,mbk,003_4th,4c,exit,lift_15,290
2020,10,43,23,mbk,003_4th,4c,exit,lift_16,247
2020,10,43,23,mbk,003_4th,4c,exit,lift_17,258
2020,10,43,23,mbk,003_4th,4c,exit,parking,1304
2020,10,43,23,mbk,003_4th,4d,entrance,3d,845
2020,10,43,23,mbk,003_4th,4d,entrance,4c,6156
2020,10,43,23,mbk,003_4th,4d,entrance,5d,333
2020,10,43,23,mbk,003_4th,4d,entrance,lift_10,421
2020,10,43,23,mbk,003_4th,4d,entrance,lift_11,297
2020,10,43,23,mbk,003_4th,4d,entrance,lift_12,299
2020,10,43,23,mbk,003_4th,4d,entrance,parking,34
2020,10,43,23,mbk,003_4th,4d,exit,3d,871
2020,10,43,23,mbk,003_4th,4d,exit,4c,5907
2020,10,43,23,mbk,003_4th,4d,exit,5d,459
2020,10,43,23,mbk,003_4th,4d,exit,lift_10,528
2020,10,43,23,mbk,003_4th,4d,exit,lift_11,411
2020,10,43,23,mbk,003_4th,4d,exit,lift_12,411
2020,10,43,23,mbk,003_4th,4d,exit,parking,0
2020,10,43,23,mbk,004_5th,5a,entrance,5b,1531
2020,10,43,23,mbk,004_5th,5a,entrance,6a,2010
2020,10,43,23,mbk,004_5th,5a,entrance,lift_tower_1,0
2020,10,43,23,mbk,004_5th,5a,entrance,lift_tower_2,11
2020,10,43,23,mbk,004_5th,5a,entrance,lift_tower_3,0
2020,10,43,23,mbk,004_5th,5a,entrance,lift_tower_4,2
2020,10,43,23,mbk,004_5th,5a,entrance,tokyu,2046
2020,10,43,23,mbk,004_5th,5a,exit,5b,1777
2020,10,43,23,mbk,004_5th,5a,exit,6a,1805
2020,10,43,23,mbk,004_5th,5a,exit,lift_tower_1,0
2020,10,43,23,mbk,004_5th,5a,exit,lift_tower_2,14
2020,10,43,23,mbk,004_5th,5a,exit,lift_tower_3,0
2020,10,43,23,mbk,004_5th,5a,exit,lift_tower_4,0
2020,10,43,23,mbk,004_5th,5a,exit,tokyu,2037
2020,10,43,23,mbk,004_5th,5b,entrance,4b,3477
2020,10,43,23,mbk,004_5th,5b,entrance,5a,1777
2020,10,43,23,mbk,004_5th,5b,entrance,5c,1363
2020,10,43,23,mbk,004_5th,5b,entrance,6b,2746
2020,10,43,23,mbk,004_5th,5b,entrance,lift_18,100
2020,10,43,23,mbk,004_5th,5b,entrance,lift_19,108
2020,10,43,23,mbk,004_5th,5b,entrance,parking,402
2020,10,43,23,mbk,004_5th,5b,exit,4b,4049
2020,10,43,23,mbk,004_5th,5b,exit,5a,1531
2020,10,43,23,mbk,004_5th,5b,exit,5c,1069
2020,10,43,23,mbk,004_5th,5b,exit,6b,2551
2020,10,43,23,mbk,004_5th,5b,exit,lift_18,98
2020,10,43,23,mbk,004_5th,5b,exit,lift_19,83
2020,10,43,23,mbk,004_5th,5b,exit,parking,637
2020,10,43,23,mbk,004_5th,5c,entrance,4c,1574
2020,10,43,23,mbk,004_5th,5c,entrance,5b,1069
2020,10,43,23,mbk,004_5th,5c,entrance,5d,1212
2020,10,43,23,mbk,004_5th,5c,entrance,6c,1126
2020,10,43,23,mbk,004_5th,5c,entrance,lift_13,109
2020,10,43,23,mbk,004_5th,5c,entrance,lift_14,101
2020,10,43,23,mbk,004_5th,5c,entrance,lift_15,189
2020,10,43,23,mbk,004_5th,5c,entrance,lift_16,128
2020,10,43,23,mbk,004_5th,5c,entrance,lift_17,112
2020,10,43,23,mbk,004_5th,5c,entrance,parking,352
2020,10,43,23,mbk,004_5th,5c,exit,4c,1496
2020,10,43,23,mbk,004_5th,5c,exit,5b,1363
2020,10,43,23,mbk,004_5th,5c,exit,5d,1102
2020,10,43,23,mbk,004_5th,5c,exit,6c,1024
2020,10,43,23,mbk,004_5th,5c,exit,lift_13,90
2020,10,43,23,mbk,004_5th,5c,exit,lift_14,112
2020,10,43,23,mbk,004_5th,5c,exit,lift_15,139
2020,10,43,23,mbk,004_5th,5c,exit,lift_16,109
2020,10,43,23,mbk,004_5th,5c,exit,lift_17,101
2020,10,43,23,mbk,004_5th,5c,exit,parking,385
2020,10,43,23,mbk,004_5th,5d,entrance,4d,459
2020,10,43,23,mbk,004_5th,5d,entrance,5c,1102
2020,10,43,23,mbk,004_5th,5d,entrance,6d,288
2020,10,43,23,mbk,004_5th,5d,entrance,lift_10,112
2020,10,43,23,mbk,004_5th,5d,entrance,lift_11,157
2020,10,43,23,mbk,004_5th,5d,entrance,lift_12,130
2020,10,43,23,mbk,004_5th,5d,entrance,parking,163
2020,10,43,23,mbk,004_5th,5d,exit,4d,333
2020,10,43,23,mbk,004_5th,5d,exit,5c,1212
2020,10,43,23,mbk,004_5th,5d,exit,6d,287
2020,10,43,23,mbk,004_5th,5d,exit,lift_10,123
2020,10,43,23,mbk,004_5th,5d,exit,lift_11,108
2020,10,43,23,mbk,004_5th,5d,exit,lift_12,98
2020,10,43,23,mbk,004_5th,5d,exit,parking,160
2020,10,43,23,mbk,005_6th,6a,entrance,5a,1805
2020,10,43,23,mbk,005_6th,6a,entrance,6b,2843
2020,10,43,23,mbk,005_6th,6a,entrance,7z,986
2020,10,43,23,mbk,005_6th,6a,entrance,parking,0
2020,10,43,23,mbk,005_6th,6a,exit,5a,2010
2020,10,43,23,mbk,005_6th,6a,exit,6b,2694
2020,10,43,23,mbk,005_6th,6a,exit,7z,1013
2020,10,43,23,mbk,005_6th,6a,exit,parking,0
2020,10,43,23,mbk,005_6th,6b,entrance,5b,2551
2020,10,43,23,mbk,005_6th,6b,entrance,6a,2694
2020,10,43,23,mbk,005_6th,6b,entrance,6c,2169
2020,10,43,23,mbk,005_6th,6b,entrance,7z,1698
2020,10,43,23,mbk,005_6th,6b,entrance,lift_18,265
2020,10,43,23,mbk,005_6th,6b,entrance,lift_19,244
2020,10,43,23,mbk,005_6th,6b,entrance,parking,392
2020,10,43,23,mbk,005_6th,6b,exit,5b,2746
2020,10,43,23,mbk,005_6th,6b,exit,6a,2843
2020,10,43,23,mbk,005_6th,6b,exit,6c,1640
2020,10,43,23,mbk,005_6th,6b,exit,7z,2147
2020,10,43,23,mbk,005_6th,6b,exit,lift_18,203
2020,10,43,23,mbk,005_6th,6b,exit,lift_19,196
2020,10,43,23,mbk,005_6th,6b,exit,parking,483
2020,10,43,23,mbk,005_6th,6c,entrance,5c,1024
2020,10,43,23,mbk,005_6th,6c,entrance,6b,1640
2020,10,43,23,mbk,005_6th,6c,entrance,6d,981
2020,10,43,23,mbk,005_6th,6c,entrance,7z,1017
2020,10,43,23,mbk,005_6th,6c,entrance,lift_13,173
2020,10,43,23,mbk,005_6th,6c,entrance,lift_14,157
